"ECC_SAR","ECC_CH","NSC_END","NSC_SAR","NSC_SPP","IUCN_AMPH","IUCN_BIRD","IUCN_MAMM","IUCN_REPT"
NA,NA,NA,NA,NA,NA,"Setophaga_pinus_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Setophaga_ruticilla_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Sialia_sialis_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Sitta_canadensis_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Sitta_carolinensis_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Spatula_discors_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Sphyrapicus_varius_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Spinus_pinus_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Spinus_tristis_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Spizella_pallida_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Spizella_passerina_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Spizella_pusilla_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Steganopus_tricolor_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Stelgidopteryx_serripennis_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Sterna_hirundo_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Strix_nebulosa_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Strix_varia_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Sturnella_magna_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Sturnella_neglecta_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Sturnus_vulgaris_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Surnia_ulula_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Tachycineta_bicolor_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Toxostoma_rufum_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Troglodytes_aedon_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Troglodytes_hiemalis_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Turdus_migratorius_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Tyrannus_tyrannus_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Vermivora_chrysoptera_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Vireo_flavifrons_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Vireo_gilvus_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Vireo_olivaceus_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Vireo_solitarius_2_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Zenaida_macroura_1_aoh",NA,NA
NA,NA,NA,NA,NA,NA,"Zonotrichia_albicollis_2_aoh",NA,NA
